Name,Category,SubCategory,Price,Oz,Description,ImageURL
Spanish Style Rice,Food,Entr�es & Sides,$3.49 ,/20 Oz,"If there�s a hall of fame for side dishes, Spanish rice must surely hold a place of honor within it. Also known as Mexican rice or arroz rojo, this delectably savory and richly aromatic dish of skillet-toasted, garlic-and-tomatoseasoned, beautifully red-and-yellow-hued rice is a consummate companion for all kinds of entr�es, ranging from tacos and enchiladas to grilled seafood and roast chicken. Of course, like any hall-of-fame worthy side, it can be a bit time-consuming to prepare from scratch. That�s why we�re proud to offer Trader Joe�s Spanish Style Rice. Each box contains two pouches of pre-prepared Spanish Style Rice that can go from your freezer to your dinner plate in a manner of minutes.
Seriously, all it takes is about 4� minutes in the microwave or a little longer in a hot skillet to make two steamy servings of tender, toothsome, perfectly spiced Spanish Style Rice. With all that prep work out of the way, you�ll have all the more time to focus on what kind of dish to accessorize with this flavorful, fragrant Rice. We recommend trying it with a sizzling plate of fajitas, featuring our Pollo Asado, a couple of crispy Black Bean & Cheese Taquitos alongside your favorite refried beans with crumbled Cotija, or a Citrusy Garlic seasoned piece of salmon.",https://drive.google.com/file/d/1fY0eEHPGyt8105gtIkIPvXq-eefH9xvV/
"Solid White Albacore Tuna, No Salt Added",Food,"Packaged Fish, Meat, Fruit & Veg",$1.99 ,/5 Oz,"Albacore is the most prized tuna with the lightest flesh: white with just a little pink. In fact, because of its light color, albacore is the only tuna that can technically be called �white.� At Trader Joe�s, we have an abundance of albacore options, all of which has been sustainably caught using circle hooks and nylon leads � this method of fishing reduces �by-catch,� which means it�s much less likely that other fish and sea life will be gathered up in the catch.
What you�ll find on our grocery shelves is premium albacore, meaty in flavor and texture, packed in versatile, easy-to-use cans. Our Solid White Albacore Tuna In Water with No Salt Added contains only two ingredients: solid white tuna and water. No Salt is added, however sodium is naturally occurring in these saline water swimmers.",https://drive.google.com/file/d/16y6UtOFviLSU6xo8rGJnnRmz_-6S8ENZ/
"Solid White Albacore Tuna, Salt Added",Food,"Packaged Fish, Meat, Fruit & Veg",$1.99 ,/5 Oz,"Albacore is the most prized tuna with the lightest flesh: white with just a little pink. In fact, because of its light color, albacore is the only tuna that can technically be called �white.� At Trader Joe�s, we have an abundance of albacore options, all of which has been sustainably caught using circle hooks and nylon leads � this method of fishing reduces �by-catch,� which means it�s much less likely that other fish and sea life will be gathered up in the catch.
What you�ll find on our grocery shelves is premium albacore, meaty in flavor and texture, packed in versatile, easy-to-use cans. Our Solid White Albacore Tuna In Water with Salt Added contains three ingredients: solid white tuna, water, and salt. The addition of salt means that each serving (equal to the whole can) contains 360 milligrams of sodium (sodium is also naturally occurring in these saline water swimmers).",https://drive.google.com/file/d/1fRQx-YYP13qod1kVn7p23Z2XUn_Mtp4A/
Chicken Gyoza Potstickers,Food,Entr�es & Sides,$3.79 ,/16 Oz,"According to culinary historians, gyoza (�jiaozi� in Mandarin) were invented by the Chinese. It�s rumored that the potsticker came to be when a Chinese chef walked away from the stove while gyoza were boiling, the water boiled off, and the stuffed dumplings stuck to the wok. The crisped side proved to be quite pleasing.
We love good food stories as much as we love good dumplings, so once upon a time, we developed our very own Chicken Gyoza Potstickers. These crescent-shaped dumplings are made from wheat flour wrappers that enfold a flavorful filling of chicken, cabbage and onion, seasoned with soy sauce, sesame seed oil and ginger powder. Already fully cooked, our Chicken Gyoza Potstickers easily fulfill your preparation preference � steam, pan fry, microwave, or add to soup. Our favorite method is to heat oil in a pan (or wok); place the potstickers in the hot pan, bottom side down (creases up), and cook over medium-high until browned and crisped; (optional: carefully turn to brown each side); throw a little water into the pan and cover to steam the dumplings off the pan (take care to not add too much water, as the dough can start to come undone). Serve hot with our Gyoza Dipping Sauce or place atop a bed of greens and dress with simple soy-sesame vinaigrette.",https://drive.google.com/file/d/1rLcO5dcS7LymJNU3zkzgx9h8TmJ0t-q9/
Joe's Joe-Joe's Granola Cookies & Creme,Food,Cereals,$3.69 ,/12 Oz,"Who doesn�t love a Joe-Joe? Not us! At Trader Joe-Joe�s�er, Trader Joe�s�we love a classic, and our Joe-Joe�s Cookies are about as classic as they come. Our customers can�t get enough of them, either; they�ve been a best-seller since we first introduced them in 2006. Which got us thinking: why save Joe-Joe�s for dessert? We�ll answer that one for you, in the form of new Trader Joe�s Joe-Joe�s Granola. (You�re welcome.)
Trader Joe�s Joe-Joe�s Granola takes toasted rolled oats, brown rice crisp (think: puffed rice), cocoa, cane sugar, and bits of Joe-Joe�s-style chocolate-and-vanilla-cr�me sandwich cookies and turns them into delectable, cookies-n-cream-y clusters � with a little help from some cluster-binding brown rice syrup and coconut oil. It�s a Granola that calls out for a generous pour of milk or non-dairy beverage at breakfast, and a few heaping scoops of ice cream for dessert. Go-go, Joe-Joe!",https://drive.google.com/file/d/1NlRN5Jiy1QX3lIePFn3Fd5ztD9Uz_g_8/
Sage Derby,Food,"Wedges, Wheels, Loaves, Logs",$11.99 ,/1 Lb,"A holiday tradition dating back all the way to 17th century England, Sage Derby is well beloved in Britain for its savory, herbaceous taste, firm, buttery texture, and unmistakable green hue. Trader Joe�s Sage Derby (pronounced DAR-bee, across the pond) is crafted especially for us by a small, family-owned cheesemaker in Lancashire, who hand-blends the Cheddar curds with a mix of earthy, aromatic sage and spinach (for color). Each wedge has a marvelously marbled, and�if we dare say so ourselves�charmingly festive appearance, ideal for serving on cheese plates of all kinds.
So how best to enjoy Sage Derby? Aside from simply eating it on its own or with a glass of crisp Chardonnay (which we certainly won�t dissuade you from), it also makes an excellent ingredient in cheese scones, quiches, or potatoes au gratin. For aesthetically-minded foodies, it provides some nicely verdant visuals when cubed and served alongside charcuterie or melted into mac & cheese. And if you�re ready for some exceptionally sage advice, we find its awesomely herbaceous qualities make it a perfect cheese for slicing thin and serving on a roast turkey sandwich. Mmm!",https://drive.google.com/file/d/1oHMyB6-HDPOB4A8k2SbiBL_kQqV8iQub/
Herbes de Provence,Food,Spices,$4.99 ,/2.2 Oz,"As summer turns to fall, we turn on our ovens. We break out the roasting pans that lay dormant from May to August and dust off our favorite roast chicken and root veggie casserole recipes. But just how will we season our chickens and casseroles (and fish, and turkey, and vegetables) this fall and winter? With Herbes de Provence, of course.
What is it, exactly? Herbes de Provence [ERB-duh-proh-VAHNS] is a mixture of herbs typical of the Provence region in the south of France. It wasn�t commercially available as a ready-to-use blend under that name until the 1970�s, and the specific herbs used in the blend can vary, as cooks choose different herbs to suit their taste. The blend in this jar, created exclusively for us in Florida, is comprised of thyme, marjoram, savory, rosemary, basil, sage and lavender, creating a savory, aromatic seasoning that can be used in a multitude of preparations.
So how, and when, can you use Herbes de Provence? It is usually added before or during cooking, often when oil is heating, which helps to draw out the aromatics and allow them to meld into the recipe. It lends a sense of elegance when roasted with vegetables, and provides a floral balance to savory roasted poultry or fish. And of course, what would the classic Chicken Proven�al be without this Proven�al-inspired seasoning?
Our Herbes de Provence blend is packed in a wide-mouth jar, complete with a wooden spoon, so you can scoop as much as you need.",https://drive.google.com/file/d/1ECEyFBTboBKKqqDCYeait7A1XIKO75BI/
Creamy Toscano Cheese Dusted with Cinnamon,Food,"Wedges, Wheels, Loaves, Logs",$10.99 ,/1 Lb,"Trader Joe�s Creamy Toscano Cheese Dusted with Cinnamon is a rich and creamy cheese created for the most discerning cheese enthusiasts by artisan cheese makers in Wisconsin. This creamy cheddar-style cheese has a unique parmesan taste so you get the robust, nutty flavor of aged parmesan with the subtle creaminess of farmstead cheddar. The wheel is coated in cinnamon, providing just the right amount of sweet spiciness to complement this savory and slightly tangy cheese. Shavings of Toscano create the perfect topping for a crostini. It also pairs nicely with chardonnay and ros� wines.",https://drive.google.com/file/d/1m4zl7gii82Ur8hgaziS7S0KS9WN8cWJv/
Sea Salt Crystals,Food,Spices,$1.99 ,/3.88 Oz,"Salt is likely the single most important mineral in human culinary history�and probably human existence more broadly. The fact that we very much need it for our brains and bodies to function properly aside, salt is essential in preserving food, in killing foodborne pathogens, and in allowing the flavor receptors on our tongues to fully perceive sweet, sour, and umami tastes. Across time and countless cultures, salt has held immeasurable social, economic, and religious importance, and provided the etymological inspiration for words like sauce, sausage, �salad, salacious, and salary (among many others). All this to say: salt is pretty darn important! So it might as well be easy to work with, like it is with Trader Joe�s Sea Salt Crystals.
�
Made with hefty-sized sea salt crystals sourced from South Africa, our Sea Salt comes in a jar with a convenient grinder already attached. Which means that all it takes to add just the right amount of salt to any kind of dish is a couple of satisfyingly crackly spins of the lid. Since it�s such a crucial part of any pantry, we�re proud to say that our Sea Salt is of dependably excellent quality, and sells for an equally excellent everyday price.",https://drive.google.com/file/d/1TKyayVbqC7QzYH467c7hJcxRuX6M5g6Q/
Organic Bread Crumbs,Food,For Baking & Cooking,$2.99 ,/10 Oz,"In the world of fiction, bread crumbs are most famously associated with the fairy tale of Hansel and Gretel. In that story, two wayward tots used them as a tool to keep track of their progress in the forest, only to find that birds had eaten them when they attempted to backtrack. What does this tell us about bread crumbs? If nothing else, they�re much more delicious than they are a useful geolocational tool. Trader Joe�s Organic Bread Crumbs are certainly delicious, and they�re made with organic ingredients to boot. And they�re definitely better suited for the kitchen than orienting yourself in the woods�just in case that was still on your mind.�
�
Whether you�re in the mood for making fried fish, meatloaf, or a cheesy casserole, it�s always an excellent idea to keep a pouch of our Organic Bread Crumbs on hand. They add much-needed body and texture to crab cakes, meatballs, and salmon patties, a delightfully crispy pop of texture when used to top baked mac and cheese, and make a superlatively delicious breading for pork cutlets, chicken cordon bleu, or air-fried pickles. Head on over to your Trader Joe�s grocery aisle to pick up a pouch today�we just wouldn�t recommend using them to find your way back home, is all.",https://drive.google.com/file/d/1EZTX_n29Hr0iybzUxSqXHa5ZcR04nru4/
Autumn Vegetable & White Bean Gratin,Food,"Salads, Soups & Sides",$5.99 ,/17 Oz,"Like any great gratin, this one includes creamy, rich cheese, namely white Cheddar. What�s beneath and between that lovely, creamy cheese is a combination of Roasted Vegetables, including cauliflower, butternut squash, and kale. But what really puts this Gratin over the top, is the inclusion of White Beans. These butter beans add more creaminess, plus a slightly denser texture. Finished with panko bread crumbs and seasonings that include onion, thyme, and parsley, this may be one of the most satisfyingly savory sides you�ll enjoy this season.
And if you are serving it alongside a turkey, this dish need not compete for oven time. While we do recommend cooking our Roasted Vegetable and White Bean Gratin in the conventional oven at 350�F for about 25 minutes, you�ll save minutes and oven space by heating it in the microwave, with similar results. Four minutes or so on high yields a hot and hearty Gratin that�ll serve up to four people when served as a complement to a larger meal.",https://drive.google.com/file/d/18BrA4B_Zon2KixP-Medo3LiIC8T6Qdnp/
Rice Vinegar,Food,Oils & Vinegars,$2.29 ,/12.7 Fl Oz,"A true building block of many East Asian cuisines, the origins of rice vinegar date somewhere between four and five thousand years ago to ancient China. It�s traditionally made by fermenting rice wine, and over its long and storied history has been used as everything from a flavoring agent, to a preservative, to beverage in its own right. It comes in a variety of colors ranging from red, to white, to brown and black, and is sometimes seasoned with sugar or other flavorings. Trader Joe�s Rice Vinegar is styled after an everyday, unseasoned, white rice vinegar, but it�s certainly not lacking for flavor. Tart, tangy, and just a touch sweet, with a slightly sharp note for cutting through and brightening other flavors, it�s an ideal ingredient for adding to salad dressings, sauces, and marinades of all kinds.
�
A bit of our Rice Vinegar will add an extra dimension of flavor to stir-fries, soups, and even just a freshly cooked pot of plain white rice. When mixed with soy sauce, it makes an excellent condiment for any of our gyoza or soup dumpling options, though we�ll leave the exact ratio to your personal tastes (some prefer equal parts soy sauce to Rice Vinegar, others enjoy two parts Vinegar to one part soy sauce). And when making quick pickles or a last-minute seaweed salad, our Rice Vinegar is nothing short of a must-have.",https://drive.google.com/file/d/1gFfPFuBoO_N-zC6QyA68OoDxIDhYK4hT/
Organic Brussels Sprouts,Food,Veggies,$3.69 ,/14 Oz,"We haven�t always carried organic Brussels sprouts � as many a farmer will attest, Brussels sprouts are a very tricky item to grow organically, as they are especially susceptible to bugs. Luckily, our Buyers weren�t bugged by such a challenge. They searched and searched for natural sources for organic sprouts, and lo behold, eventually found the key: coastal farms. Cool, coastal micro-climates serve as a natural pest repellant, keeping the bugs at bay. We�ve since partnered with experienced farmers, to bring you Trader Joe�s Organic Brussels Sprouts.
�
Grown with care in pristine, mineral-rich fields, without the use of any synthetic pesticides or chemical fertilizers, these certified Organic Sprouts are quite something. They�re as rich in flavor as they are nutrients (an excellent source of vitamins C and K, a good source of vitamin A, folate, manganese, dietary fiber... the list goes on), and make an ideal side for practically any protein you can name. They can be prepared in countless different ways, but are particularly delicious when halved, tossed with olive oil, salt, pepper, and thinly sliced garlic, then roasted lightly browned on the bottom.",https://drive.google.com/file/d/1fem2y7-N5vjahy1Y28Ps2SeAgUjBDMoi/
Shishito Peppers,Food,Veggies,$2.49 ,/6 Oz,"An exotic delicacy iconic to izakaya (Japanese tapas/appetizers/bar food), Shishito Peppers have become a ubiquitous and fashionable finger food of late. Here�s why: Shishito Peppers are enormously delicious and a bit daring, couldn�t be simpler to prepare, are famously finger-friendly, and make perfect appetizers.
Native to Japan (perhaps via Portugal, some speculate), the slender, green peppers have delicate skin and a slightly pleated surface that makes for a fresh crunch raw or a tender bite cooked. They have a whisper of grassy and peppery flavor, with a faint note of citrus. And�here�s the kicker�some (approximately one in ten) have a real kick! So popping peppers is a bit roulette-y: mild, mild, mild, POW!... The hit of heat and suspense are addicting.
Minimal prep is the key to highlighting their bright flavor. Simply heat oil (olive or sesame) in a heavy skillet over medium-high heat, and cook the peppers, turning occasionally, until they begin to blister on all sides. Sprinkle with a bit of sea salt�they are ready to enjoy! They are also wonderful grilled or deep fried, and partnered with a Soyaki-style sauce or Sriracha cream for dipping. They are ideal appetizers. They can also be tossed on top of pizzas or served alongside steaks. We�ve even seen them served as a cocktail garnish.",https://drive.google.com/file/d/1DJCezEXPuUyKJpXyEvMwcA9uGyEIfFyu/
Organic Super Sweet Cut Corn,Food,Entr�es & Sides,$1.79 ,/16 Oz,"Trader Joe�s Organic Corn is very likely the sweetest, crunchiest and freshest-tasting off-the-cob Corn you�ll find anywhere. This corn is Supersweet, it contains up to twice the amount of sweetness as standard varieties and may be harvested and stored over a longer period of time. No doubt this corn is sweet... Supersweet to be exact, and it�s organic, already cut, and flash frozen - store in your freezer, cook what you need, save the rest for later, and repeat.
Obviously, corn is one of the more versatile ingredients in your pantry. You hardly need suggestions for corn, right? But we�d be remiss if we didn�t give you one just the same. Toss a bag in the microwave or on the stove top until heated through. Add as a sweet side dish or for a Mexican-style salad. Or if you�re feeling creative, mix with a cup of Real Mayonnaise, grated Cotija Cheese, green chiles, and crushed Elote Chips for a supersweet elote side!",https://drive.google.com/file/d/1K6D59bvgER6Sr-93-oj3S64UJRsaLrcZ/
Shiitake Mushrooms,Food,Veggies,$3.69 ,/4 Oz,"Trader Joe's Shiitake Mushrooms have a meaty, woodsy flavor that makes them a great addition to ramen, stir fry dishes, pasta and risotto recipes.",https://drive.google.com/file/d/10sTzZVYJjtW44ozMP9TOX8EPydHzD33o/
Multi-Floral & Clover Honey,Food,"Honeys, Syrups & Nectars",$3.99 ,/12 Oz,"The iconic honey bear we�ve all seen in our pantry for years was inspired by a beloved classic cartoon character. You might know him. He�s a cute, yellow teddy bear � short and stout and wears a little red t-shirt, who has an endless love for honey. Something like �Pinnie-the-Wooh� sound familiar?
Oh, how he would adore Trader Joe�s Multi-Floral and Clover Honey... so do we, and you will too! It�s luscious, mildly sweet and amber-colored honey. We used to call this stuff simply �Clover Honey,� but the bees can pollinate & forage the nectar of whatever plants they choose. So, on account of the fact that a different species of flora could lure the bees out of their beloved clover fields from time to time, we�ve added �Multi-Floral� to its moniker. It�s in a classic 12-ounce squeezable bear, so cute you just want to squeeze �em.",https://drive.google.com/file/d/1LLiGAOMZw36u143P7OVU1YR1ArTp_W9L/
Organic Toasted Sesame Oil,Food,Oils & Vinegars,$2.99 ,/5 Fl Oz,"Trader Joe's Organic Toasted Sesame Oil is made from the highest quality sesame seeds. The oil has a pleasant, toasted-sesame aroma that matches its nutty, toasty flavor. Try a few drops in stir fry dishes, soups and ramen noodles, or add a dash to season cabbage salad to create an authentic Asian style salad.",https://drive.google.com/file/d/1772XoT-eW3zuvOwN1ZgzvF8683m764t5/
Organic Firm Tofu,Food,Entr�es & Center of Plate,$1.99 ,/14 Oz,"A household name to some, but a peculiar protein replacement to many, tofu is a traditional piece of the culinary puzzle to many East Asian and Southeast Asian dishes. Tofu production was first recorded in China over two millennia ago and while we�ve only had our doors open since 1958, we like to think the Trader Joe�s Organic Firm Tofu we produce has the quality of a tofu that�s been being perfected over the last 2,000 years.
Made from allowing soy milk to curdle, tofu can be packaged in a variety of softness: silken, soft, firm, and extra firm. Firm Tofu is most similar to the texture of all the raw meat and seafood we stock on our shelves, making it a popular meat alternative. Nutritionally, it has all nine essential amino acids, adding to that high profile meat alternative status Firm Tofu holds. Entirely plant-based, gluten free, high in protein while low in fat makes for a great addition to many dishes as the main protein component. Trader Joe�s Organic Firm Tofu soaks up the flavor of any dish or sauce it gets tossed into, making for a flavorful and versatile plant-based star of many meals.",https://drive.google.com/file/d/1IKy_k6nQEbFbMBoBBY1M6ZYlWfAGK00_/
